db_id,split,id,question,template,query,value,q_tag,t_tag,o_tag,v_tag,tag,para_type,is_impossible,answer,scope,tables
mimic_iv_cxr,train,15543,"in which anatomical region is an abnormality observable, the left mid lung zone or the right atrium, given the study 52417572?","given the study 52417572, which anatomical location is abnormal, the left mid lung zone or the right atrium?","select func_vqa(""in which anatomical region is an abnormality observable, the left mid lung zone or the right atrium?"", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 52417572 ) as t1",{'study_id': 52417572},"given the study {study_id}, which anatomical location is abnormal, the ${object_1} or the ${object_2}?","['', '', '', '', '']",{},"{'object': ['left mid lung zone', 'right atrium'], 'category': [], 'attribute': []}","given the study {study_id}, which anatomical location is abnormal, the left mid lung zone or the right atrium?",machine,False,['left mid lung zone'],IMAGE-SINGLE-1,['tb_cxr']
mimic_iv_cxr,train,32027,"given the study 58472842, enumerate all anatomical findings seen in the radiographic image.","given the study 58472842, list all anatomicalfinding.","select func_vqa(""enumerate all anatomical findings seen in the radiographic image."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 58472842 ) as t1",{'study_id': 58472842},"given the study {study_id}, list all ${category}.","['', '', '', '', '']",{},"{'object': [], 'category': ['anatomicalfinding'], 'attribute': []}","given the study {study_id}, list all anatomicalfinding.",machine,False,"['airspace opacity', 'hyperaeration', 'lung opacity', 'pleural/parenchymal scarring']",IMAGE-SINGLE-1,['tb_cxr']
mimic_iv_cxr,train,8181,"have any technical assessments been observed related to both the left upper lung zone and the right clavicle, given the last study of patient 14683579 in 08/2102?","given the last study of patient 14683579 in 08/2102, are there any technicalassessment related to the left upper lung zone and the right clavicle?","select (func_vqa(""have any technical assessments been observed related to the left upper lung zone?"", t1.study_id)) and (func_vqa(""have any technical assessments been observed related to the right clavicle?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 14683579 and strftime('%Y-%m',tb_cxr.studydatetime) = '2102-08' order by tb_cxr.studydatetime desc limit 1 ) ) as t1",{'patient_id': 14683579},"given the [time_filter_exact1] study of patient {patient_id} [time_filter_global1], are there any ${category} related to the ${object_1} and the ${object_2}?","['abs-month-in', '', '', 'exact-last', '']",{},"{'object': ['left upper lung zone', 'right clavicle'], 'category': ['technicalassessment'], 'attribute': []}","given the [time_filter_exact1:exact-last] study of patient {patient_id} [time_filter_global1:abs-month-in], are there any technicalassessment related to the left upper lung zone and the right clavicle?",machine,False,[0],IMAGE-SINGLE-1,['tb_cxr']
mimic_iv_cxr,train,8308,"given the first study of patient 18463717 on the current hospital visit, which anatomical region is associated with the presence of the mass/nodule (not otherwise specified), the left costophrenic angle or the left mid lung zone?","given the first study of patient 18463717 on the current hospital visit, which anatomical location is related to mass/nodule (not otherwise specified), the left costophrenic angle or the left mid lung zone?","select func_vqa(""which anatomical region is associated with the presence of the mass/nodule (not otherwise specified), the left costophrenic angle or the left mid lung zone?"", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 18463717 and admissions.dischtime is null ) order by tb_cxr.studydatetime asc limit 1 ) ) as t1",{'patient_id': 18463717},"given the [time_filter_exact1] study of patient {patient_id} [time_filter_global1], which anatomical location is related to ${attribute}, the ${object_1} or the ${object_2}?","['rel-hosp-cur', '', '', 'exact-first', '']",{},"{'object': ['left costophrenic angle', 'left mid lung zone'], 'category': [], 'attribute': ['mass/nodule (not otherwise specified)']}","given the [time_filter_exact1:exact-first] study of patient {patient_id} [time_filter_global1:rel-hosp-cur], which anatomical location is related to mass/nodule (not otherwise specified), the left costophrenic angle or the left mid lung zone?",machine,False,[],IMAGE-SINGLE-1,"['tb_cxr', 'admissions']"
mimic_iv_cxr,train,26890,"can you identify any devices or diseases in the scan, given the last study of patient 14718365 in 12/2105?","given the last study of patient 14718365 in 12/2105, are there any device or disease?","select (func_vqa(""can you identify any devices in the scan?"", t1.study_id)) or (func_vqa(""can you identify any diseases in the scan?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 14718365 and strftime('%Y-%m',tb_cxr.studydatetime) = '2105-12' order by tb_cxr.studydatetime desc limit 1 ) ) as t1",{'patient_id': 14718365},"given the [time_filter_exact1] study of patient {patient_id} [time_filter_global1], are there any ${category_1} or ${category_2}?","['abs-month-in', '', '', 'exact-last', '']",{},"{'object': [], 'category': ['device', 'disease'], 'attribute': []}","given the [time_filter_exact1:exact-last] study of patient {patient_id} [time_filter_global1:abs-month-in], are there any device or disease?",machine,False,[1],IMAGE-SINGLE-1,['tb_cxr']
mimic_iv_cxr,train,31668,"provide all anatomical locations related to subclavian line resolved in the 58659660 study, compared to the previous study.","given the 58659660 study, list all anatomical locations related to subclavian line that are resolved compared to the previous study.","select func_vqa(""provide all anatomical locations related to subclavian line."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = ( select distinct tb_cxr.subject_id from tb_cxr where tb_cxr.study_id = 58659660 ) and tb_cxr.studydatetime < ( select tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id = 58659660 ) order by tb_cxr.studydatetime desc limit 1 ) as t1 except select func_vqa(""provide all anatomical locations related to subclavian line."", t2.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 58659660 ) as t2","{'study_id1': 58659660, 'patient_id': 14566423}","given the {study_id1} study, list all anatomical locations related to ${attribute} that are ${comparison} compared to the previous study?","['', '', '', '', '']",{},"{'object': [], 'category': [], 'attribute': ['subclavian line'], 'comparison': ['resolved']}","given the {study_id1} study, list all anatomical locations related to subclavian line that are resolved compared to the previous study.",machine,False,"['cardiac silhouette', 'cavoatrial junction', 'left clavicle', 'mediastinum', 'right clavicle']",IMAGE-SINGLE-2,['tb_cxr']
mimic_iv_cxr,train,9613,please identify all abnormalities newly detected in the 58346117 study relative to the 50974607 study.,"given the 58346117 study, list all abnormality that are newly detected compared to the 50974607 study.","select func_vqa(""identify all abnormality."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 58346117 ) as t1 except select func_vqa(""identify all abnormality."", t2.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 50974607 ) as t2","{'study_id1': 58346117, 'study_id2': 50974607}","given the {study_id1} study, list all abnormality that are ${comparison} compared to the {study_id2} study?","['', '', '', '', '']",{},"{'object': [], 'category': [], 'attribute': [], 'comparison': ['newly detected']}","given the {study_id1} study, list all abnormality that are newly detected compared to the {study_id2} study.",machine,False,"['airspace opacity', 'enlarged cardiac silhouette', 'lung opacity', 'pleural effusion', 'pneumonia', 'pulmonary edema/hazy opacity']",IMAGE-SINGLE-2,['tb_cxr']
mimic_iv_cxr,train,10491,"when considering the second to last study of patient 13855132 in 2105, is tracheostomy tube in the neck newly detected compared to their second to last study in 2105?","given the second to last study of patient 13855132 in 2105, is tracheostomy tube newly detected in the neck compared to the second to last study of patient 13855132 in 2105?","select ( select (func_vqa(""are there tracheostomy tube in the neck?"", t1.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 13855132 and strftime('%Y',tb_cxr.studydatetime) = '2105' order by tb_cxr.studydatetime desc limit 1 offset 1 ) ) as t1 ) and ( select (func_vqa(""are there tracheostomy tube in the neck?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 13855132 and strftime('%Y',tb_cxr.studydatetime) = '2105' order by tb_cxr.studydatetime desc limit 1 offset 1 ) ) as t2 )",{'patient_id': 13855132},"given the [time_filter_exact1] study of patient {patient_id} [time_filter_global1], is ${attribute} ${comparison} in the ${object} compared to the [time_filter_exact2] study of patient {patient_id} [time_filter_global2]?","['abs-year-in', 'abs-year-in', '', 'exact-second_to_last', 'exact-second_to_last']",{},"{'object': ['neck'], 'category': [], 'attribute': ['tracheostomy tube'], 'comparison': ['newly detected']}","given the [time_filter_exact1:exact-second_to_last] study of patient {patient_id} [time_filter_global1:abs-year-in], is tracheostomy tube newly detected in the neck compared to the [time_filter_exact2:exact-second_to_last] study of patient {patient_id} [time_filter_global2:abs-year-in]?",machine,False,[0],IMAGE-SINGLE-2,['tb_cxr']
mimic_iv_cxr,train,10963,please outline all anatomical locations related to any anatomical findings still present in the second to last study of patient 19517789 last year compared to the second study last year.,"given the second to last study of patient 19517789 last year, list all anatomical locations related to any anatomicalfinding that are still present compared to the second study of patient 19517789 last year.","select func_vqa(""outline all anatomical locations related to any anatomical findings."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19517789 and datetime(tb_cxr.studydatetime,'start of year') = datetime(strftime('2105-12-31 23:59:00'),'start of year','-1 year') order by tb_cxr.studydatetime desc limit 1 offset 1 ) ) as t1 intersect select func_vqa(""outline all anatomical locations related to any anatomical findings."", t2.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19517789 and datetime(tb_cxr.studydatetime,'start of year') = datetime(strftime('2105-12-31 23:59:00'),'start of year','-1 year') order by tb_cxr.studydatetime asc limit 1 offset 1 ) ) as t2",{'patient_id': 19517789},"given the [time_filter_exact1] study of patient {patient_id} [time_filter_global1], list all anatomical locations related to any ${category} that are ${comparison} compared to the [time_filter_exact2] study of patient {patient_id} [time_filter_global2]?","['rel-year-last', 'rel-year-last', '', 'exact-second_to_last', 'exact-second']",{},"{'object': [], 'category': ['anatomicalfinding'], 'attribute': [], 'comparison': ['still present']}","given the [time_filter_exact1:exact-second_to_last] study of patient {patient_id} [time_filter_global1:rel-year-last], list all anatomical locations related to any anatomicalfinding that are still present compared to the [time_filter_exact2:exact-second] study of patient {patient_id} [time_filter_global2:rel-year-last].",machine,False,"['left chest wall', 'neck', 'right chest wall']",IMAGE-SINGLE-2,['tb_cxr']
mimic_iv_cxr,train,11434,please outline all abnormalities still present in the first study of patient 14911129 on the current hospital visit compared to the first study on the last hospital visit.,"given the first study of patient 14911129 on the current hospital visit, list all abnormality that are still present compared to the first study of patient 14911129 on the last hospital visit.","select func_vqa(""outline all abnormality."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 14911129 and admissions.dischtime is null ) order by tb_cxr.studydatetime asc limit 1 ) ) as t1 intersect select func_vqa(""outline all abnormality."", t2.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 14911129 and admissions.dischtime is not null order by admissions.admittime desc limit 1 ) order by tb_cxr.studydatetime asc limit 1 ) ) as t2",{'patient_id': 14911129},"given the [time_filter_exact1] study of patient {patient_id} [time_filter_global1], list all abnormality that are ${comparison} compared to the [time_filter_exact2] study of patient {patient_id} [time_filter_global2]?","['rel-hosp-cur', 'rel-hosp-last', '', 'exact-first', 'exact-first']",{},"{'object': [], 'category': [], 'attribute': [], 'comparison': ['still present']}","given the [time_filter_exact1:exact-first] study of patient {patient_id} [time_filter_global1:rel-hosp-cur], list all abnormality that are still present compared to the [time_filter_exact2:exact-first] study of patient {patient_id} [time_filter_global2:rel-hosp-last].",machine,False,"['lung lesion', 'lung opacity', 'multiple masses/nodules']",IMAGE-SINGLE-2,"['tb_cxr', 'admissions']"
