id,query_predicted,query_expected,result_predicted,result_expected,query_accuracy,execution_accuracy,VQA
5,"SELECT ""STUDY_ID"" FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 10284038 AND strftime('%Y', ""STUDYDATETIME"") = '2105' ORDER BY ""STUDYDATETIME"" DESC LIMIT 1; SELECT func_vqa(""Is the cardiac silhouette's width larger than half of the total thorax width?"", ""STUDY_ID"") AS ""Result"" FROM ( SELECT ""STUDY_ID"" FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 10284038 AND strftime('%Y', ""STUDYDATETIME"") = '2105' ORDER BY ""STUDYDATETIME"" DESC LIMIT 1 );","select func_vqa(""is the cardiac silhouette's width larger than half of the total thorax width?"", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10284038 and strftime('%y',tb_cxr.studydatetime) = '2105' order by tb_cxr.studydatetime desc limit 1 ) ) as t1","                                               error
0  Database error occurred: Execution failed on s...","Empty DataFrame
Columns: [func_vqa(""is the cardiac silhouette's width larger than half of the total thorax width?"", t1.study_id)]
Index: []",False,False,GPT4o
21,"SELECT ""STUDY_ID"", func_vqa(""Anatomical findings or diseases?"", ""STUDY_ID"") AS ""Has_Findings_or_Diseases"" FROM TB_CXR WHERE ""SUBJECT_ID"" = 19243401 AND strftime('%Y', ""STUDYDATETIME"") = strftime('%Y', date('now')) ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select (func_vqa(""can you confirm the presence of anatomical findings?"", t1.study_id)) or (func_vqa(""can you confirm the presence of diseases?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19243401 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) as t1","Empty DataFrame
Columns: [study_id, Has_Findings_or_Diseases]
Index: []","Empty DataFrame
Columns: [(func_vqa(""can you confirm the presence of anatomical findings?"", t1.study_id)) or (func_vqa(""can you confirm the presence of diseases?"", t1.study_id))]
Index: []",False,True,GPT4o
49,"SELECT ""STUDY_ID"", func_vqa('Are there any abnormalities in the abdomen or right chest wall?', ""STUDY_ID"") AS ""Abnormalities_Found"" FROM TB_CXR WHERE ""SUBJECT_ID"" = 15491652 AND strftime('%Y-%m', ""STUDYDATETIME"") = '2015-06' ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select (func_vqa(""can you identify any abnormalities in the abdomen?"", t1.study_id)) or (func_vqa(""can you identify any abnormalities in the right chest wall?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 15491652 and strftime('%y-%m',tb_cxr.studydatetime) = '2105-06' order by tb_cxr.studydatetime desc limit 1 ) ) as t1","Empty DataFrame
Columns: [study_id, Abnormalities_Found]
Index: []","Empty DataFrame
Columns: [(func_vqa(""can you identify any abnormalities in the abdomen?"", t1.study_id)) or (func_vqa(""can you identify any abnormalities in the right chest wall?"", t1.study_id))]
Index: []",False,True,GPT4o
66,"SELECT ""STUDY_ID"" FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 19243401 AND strftime('%Y', ""STUDYDATETIME"") = strftime('%Y', date('now')) AND strftime('%m', ""STUDYDATETIME"") = '12' AND ""STUDYORDER"" = 1 AND (func_vqa(""has any tubes or lines related to the abdomen?"", ""STUDY_ID"") OR func_vqa(""has any tubes or lines related to the right lung?"", ""STUDY_ID""));","select (func_vqa(""have any tubes/lines related to the abdomen been noticed?"", t1.study_id)) and (func_vqa(""have any tubes/lines related to the right lung been noticed?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19243401 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') and strftime('%m',tb_cxr.studydatetime) = '12' order by tb_cxr.studydatetime asc limit 1 ) ) as t1","Empty DataFrame
Columns: [study_id]
Index: []","Empty DataFrame
Columns: [(func_vqa(""have any tubes/lines related to the abdomen been noticed?"", t1.study_id)) and (func_vqa(""have any tubes/lines related to the right lung been noticed?"", t1.study_id))]
Index: []",False,True,GPT4o
71,"SELECT ""STUDY_ID"" FROM ""TB_CXR"" WHERE ""STUDY_ID"" = 55277734 AND ( func_vqa(""Is there airspace opacity?"", ""STUDY_ID"") = true OR func_vqa(""Is there aspiration?"", ""STUDY_ID"") = true );","select (func_vqa(""can you find airspace opacity?"", t1.study_id)) or (func_vqa(""can you find aspiration?"", t1.study_id)) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 55277734 ) as t1","   study_id
0  55277734","   (func_vqa(""can you find airspace opacity?"", t1.study_id)) or (func_vqa(""can you find aspiration?"", t1.study_id))
0                                                  1                                                               ",False,False,GPT4o
111,"SELECT ""LABEL"" FROM ""D_ITEMS"" WHERE ""ITEMID"" IN ( SELECT ""ITEMID"" FROM ""CHARTEVENTS"" WHERE ""HADM_ID"" = ( SELECT ""HADM_ID"" FROM ""TB_CXR"" WHERE ""STUDY_ID"" = ( SELECT ""STUDY_ID"" FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 16015533 ORDER BY ""STUDYDATETIME"" DESC LIMIT 1 ) ) AND func_vqa('what are the anatomical sites associated with any findings?', ""SUBJECT_ID"") );","select func_vqa(""please identify all anatomical sites associated with any anatomical findings."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16015533 order by tb_cxr.studydatetime desc limit 1 ) ) as t1","Empty DataFrame
Columns: [label]
Index: []","   func_vqa(""please identify all anatomical sites associated with any anatomical findings."", t1.study_id)
0                                                  0                                                     ",False,False,GPT4o
163,"SELECT ""LONG_TITLE"" FROM D_ICD_DIAGNOSES WHERE ""ICD_CODE"" IN ( SELECT DISTINCT ""ICD_CODE"" FROM DIAGNOSES_ICD WHERE ""SUBJECT_ID"" IN ( SELECT ""SUBJECT_ID"" FROM TB_CXR WHERE ""STUDY_ID"" = 57883509 ) AND func_vqa('Are there any abnormalities in this study?', ""STUDY_ID"") );","select func_vqa(""enumerate all detected abnormalities."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 57883509 ) as t1","Empty DataFrame
Columns: [long_title]
Index: []","   func_vqa(""enumerate all detected abnormalities."", t1.study_id)
0                                                  0             ",False,False,GPT4o
439,"SELECT ""STUDY_ID"", ""VIEWPOSITION"" FROM ""TB_CXR"" WHERE ""STUDY_ID"" = 59940756 AND func_vqa('Specify all anatomical locations associated with any anatomical findings', ""STUDY_ID"");","select func_vqa(""specify all anatomical locations associated with any anatomical findings."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 59940756 ) as t1","Empty DataFrame
Columns: [study_id, viewposition]
Index: []","   func_vqa(""specify all anatomical locations associated with any anatomical findings."", t1.study_id)
0                                                  0                                                 ",False,False,GPT4o
460,"SELECT ""STUDY_ID"", ""VIEWPOSITION"", func_vqa(""Which anatomical area is associated with vascular calcification, the mediastinum or the upper mediastinum?"") AS ""Calcification_Area"" FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 18386349 ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select func_vqa(""which anatomical area is associated with vascular calcification, the mediastinum or the upper mediastinum?"", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 18386349 order by tb_cxr.studydatetime desc limit 1 ) ) as t1","                                               error
0  Database error occurred: Execution failed on s...","   func_vqa(""which anatomical area is associated with vascular calcification, the mediastinum or the upper mediastinum?"", t1.study_id)
0                                                  0                                                                                  ",False,False,GPT4o
518,"SELECT ""STUDY_ID"", ""IMAGE_ID"" FROM ""TB_CXR"" WHERE ""STUDY_ID"" = 50078800 AND func_vqa(""Is there any abnormality observed?"", ""STUDY_ID"") = 1;","select func_vqa(""outline all the observed abnormalities."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 50078800 ) as t1","   study_id                                      image_id
0  50078800  35fea1db-371d90fc-1c8a614a-3c105bf3-07ccef43","   func_vqa(""outline all the observed abnormalities."", t1.study_id)
0                                                  0               ",False,False,GPT4o
