db_id,scope,question,answer,question_zh,answer_zh,pred_summary,pred_details,pred_source,predict_answer,pred_explanation,_label,label,comment
mimic_iv_cxr,IMAGE-SINGLE-1,"given the last study of patient 10284038 in 2105, is the cardiac silhouette's width larger than half of the total thorax width?",[0],根据2105年对患者10284038的最新研究，心脏轮廓的宽度是否大于胸廓总宽度的一半？,[0],,,,"Based on the available data, we could not determine whether the width of the heart contour is greater than half the total width of the thorax for patient 10284038 as of 2105. Additional data or methods are required to obtain this information.",,1,1,
mimic_iv_cxr,IMAGE-SINGLE-1,"given the last study of patient 19243401 this year, can you confirm the presence of either anatomical findings or diseases?",[1],根据今年对患者19243401的最新研究，您能确认是否存在解剖学发现或者疾病吗？,[1],Patient 19243401 has anatomical findings and potential diseases in the latest study.,"The latest study shows positioning of the endotracheal tube towards the right main stem bronchus, right linear atelectasis, and mild opacity in the right upper lobe that may represent atelectasis or early infection.",Report analysis of the latest study with study_id 57101156.,"['endotracheal tube', 'right linear atelectasis', 'atelectasis', 'right upper lung zone']",These findings suggest the presence of anatomical issues and potential early infection.,0,0,
mimic_iv_cxr,IMAGE-SINGLE-1,"given the last study of patient 15491652 in 06/2105, can you identify any abnormalities in the abdomen or right chest wall?",[1],根据病人15491652在2105年06月的最新研究，您能否确定在腹部或右侧胸壁有任何异常？,[1],No abnormalities found in the abdomen or right chest wall.,"Based on the latest study conducted in June 2105 for patient 15491652, there were no abnormalities reported in the abdomen or right chest wall.",Study ID 59847848,no,The report confirms that there are no noted abnormalities in the specified areas.,0,0,
mimic_iv_cxr,IMAGE-SINGLE-1,"have any tubes/lines related to both the abdomen and the right lung been noticed, given the first study of patient 19243401 on 12/this year?",[0],在今年12月对19243401号患者进行的首次研究中，是否有关于腹部和右侧肺部的任何管/线被观察到了？,[0],ET tube and NG tube observed in the patient.,An ET tube is 6.2 cm from the carina. An NG tube is seen coursing below the diaphragm.,Report analysis,"['abdomen', 'right lung']",These tubes/lines were specifically noted in the abdomen and right lung areas.,0,0,
mimic_iv_cxr,IMAGE-SINGLE-1,"given the study 55277734, can you find either airspace opacity or aspiration?",[0],根据研究号55277734，您能否找到气腔透明度或者空气吸入吗？,[0],,,,"The previous attempts to retrieve information about air space opacity or air entry for study_id 55277734 were unsuccessful. We obtained the subject_id (17201840) and image_id (7feb6dd3-ebde561d-d43cef2e-591c2c69-a5231027), but we could not analyze the report. Please provide further instructions or details to proceed.",,1,1,
mimic_iv_cxr,IMAGE-SINGLE-1,"given the last study of patient 16015533, please identify all anatomical sites associated with any anatomical findings.","['left hemidiaphragm', 'right hemidiaphragm', 'right hilar structures', 'right lower lung zone']",根据患者号16015533的最新研究，请确定与任何解剖学发现相关的所有解剖部位。,"['左膈', '右膈', '右肺门结构', '右下肺区']",Anatomical regions related to the findings for the patient with subject_id 16015533 have been identified.,"The anatomical regions related to the findings are the right pleural space, right infrahilar region, heart, lungs, and mediastinum.",Analysis of the latest study for the patient with subject_id 16015533.,"right pleural space, right infrahilar region, heart, lungs, mediastinum",These regions were identified based on the analysis of the latest study for the patient.,-1,0,
mimic_iv_cxr,IMAGE-SINGLE-1,"enumerate all detected abnormalities, given the study 57883509.","['enlarged cardiac silhouette', 'linear/patchy atelectasis']",根据研究号57883509，请列举出所有检测到的异常。,"['心脏轮廓增大', '线性/斑点性肺不张']",List of detected abnormalities for study id 57883509,1. Mildly enlarged heart size 2. Slightly low lung volumes 3. Mild right basilar atelectasis 4. Mildly distended loops of colon in the left upper abdomen,Database query and report analysis,"['enlarged cardiac silhouette', 'low lung volumes', 'atelectasis', 'abdomen']","The abnormalities detected in the study include heart size, lung volumes, atelectasis, and distended loops of colon.",0,0,
mimic_iv_cxr,IMAGE-SINGLE-1,"given the study 59940756, specify all anatomical locations associated with any anatomical findings.","['aortic arch', 'cardiac silhouette', 'left hilar structures', 'left lung', 'mediastinum', 'right hilar structures', 'right lung', 'upper mediastinum']",给定研究59940756，请指定与任何解剖学发现相关的所有解剖位置。,"['主动脉弓', '心脏轮廓', '左侧肺门结构', '左肺', '纵隔', '右侧肺门结构', '右肺', '上纵隔']",Anatomical locations related to findings for study ID 59940756,The anatomical locations related to the findings are: 1. Left hilar region 2. Right hilar region 3. Anterior right 2nd rib 4. Descending thoracic aorta 5. Mid superior vena cava (SVC) 6. Cardiac silhouette,FunctionMessage content,"['left hilar structures', 'right hilar structures', 'right 2nd rib', 'descending aorta', 'svc', 'cardiac silhouette']",These locations are associated with the specific anatomical findings identified in the study.,0,0,
mimic_iv_cxr,IMAGE-SINGLE-1,"given the last study of patient 18386349, which anatomical area is associated with vascular calcification, the mediastinum or the upper mediastinum?","['mediastinum', 'upper mediastinum']",根据患者18386349的最新研究，血管钙化与哪个解剖区域相关，纵隔还是上纵隔？,"['纵隔', '上纵隔']",The vascular calcification is related to the superior mediastinum.,"Based on the latest study, the vascular calcification for patient 18386349 is specifically associated with the superior mediastinum.",Study ID 51525892 analysis.,superior mediastinal mass/enlargement,This finding specifies that the vascular calcification is not related to the general mediastinum but the superior part of it.,-1,0,
mimic_iv_cxr,IMAGE-SINGLE-1,"given the study 50078800, outline all the observed abnormalities.","['enteric tube', 'endotracheal tube']",根据研究号50078800，请概述所有观察到的异常。,"['胃管', '气管内导管']",Summary of abnormalities observed in study ID 50078800,"1. Enteric tube tip at gastroesophageal junction, should be advanced. 2. Small right pleural effusion. 3. Mild right basilar opacity, likely atelectasis.",Study ID: 50078800,"['enteric tube', 'right pleural effusion', 'atelectasis']","These observations indicate the presence of an enteric tube at an incorrect position, minor fluid accumulation in the right pleural cavity, and partial collapse or incomplete expansion of the lung at the right base.",0,0,
