lang,qa_type,model_type,path,experiment,output_file,evaluation_file,gen_acc
de,vqa,openai,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/de/m3lx-vqa-openai-de.json,m3lx-vqa-openai-de,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/de/m3lx-vqa-openai-de_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/de/m3lx-vqa-openai-de_evaluation.csv,0.4666666666666667
de,qa,openai,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/de/m3lx-qa-openai-de.json,m3lx-qa-openai-de,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/de/m3lx-qa-openai-de_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/de/m3lx-qa-openai-de_evaluation.csv,0.26666666666666666
de,vqa,m3ae,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/de/m3lx-vqa-m3ae-star-de.json,m3lx-vqa-m3ae-star-de,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/de/m3lx-vqa-m3ae-star-de_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/de/m3lx-vqa-m3ae-star-de_evaluation.csv,0.4
de,vqa,m3ae,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/de/m3lx-vqa-m3ae-de.json,m3lx-vqa-m3ae-de,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/de/m3lx-vqa-m3ae-de_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/de/m3lx-vqa-m3ae-de_evaluation.csv,0.3
en,vqa,openai,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/en/m3lx-vqa-openai-english.json,m3lx-vqa-openai-english,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/en/m3lx-vqa-openai-english_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/en/m3lx-vqa-openai-english_evaluation.csv,0.36666666666666664
en,vqa,m3ae,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/en/m3lx-vqa-m3ae-english.json,m3lx-vqa-m3ae-english,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/en/m3lx-vqa-m3ae-english_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/en/m3lx-vqa-m3ae-english_evaluation.csv,0.4
en,qa,openai,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/en/m3lx-qa-openai-english.json,m3lx-qa-openai-english,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/en/m3lx-qa-openai-english_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/en/m3lx-qa-openai-english_evaluation.csv,0.3
en,vqa,m3ae,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/en/m3lx-vqa-m3ae-star-en.json,m3lx-vqa-m3ae-star-en,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/en/m3lx-vqa-m3ae-star-en_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/en/m3lx-vqa-m3ae-star-en_evaluation.csv,0.3333333333333333
zh,qa,openai,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/zh/m3lx-qa-openai-zh.json,m3lx-qa-openai-zh,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/zh/m3lx-qa-openai-zh_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/zh/m3lx-qa-openai-zh_evaluation.csv,0.3
zh,vqa,openai,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/zh/m3lx-vqa-openai-zh.json,m3lx-vqa-openai-zh,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/zh/m3lx-vqa-openai-zh_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/zh/m3lx-vqa-openai-zh_evaluation.csv,0.36666666666666664
zh,vqa,m3ae,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/zh/m3lx-vqa-m3ae-zh.json,m3lx-vqa-m3ae-zh,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/zh/m3lx-vqa-m3ae-zh_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/zh/m3lx-vqa-m3ae-zh_evaluation.csv,0.4(not checked manually)
zh,vqa,m3ae,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/zh/m3lx-vqa-m3ae-star-zh.json,m3lx-vqa-m3ae-star-zh,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/output/20240729_131507/zh/m3lx-vqa-m3ae-star-zh_output.csv,/home/ubuntu/workspace/M3LX-LLMCompiler/experiments/m3lx/evaluation/20240729_131507/zh/m3lx-vqa-m3ae-star-zh_evaluation.csv,0.3333333333333333
