lang,qa_type,model_type,path,experiment,output_file,evaluation_file,gen_acc
de,vqa,openai,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/de/xmode-vqa-openai-de.json,xmode-vqa-openai-de,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/de/xmode-vqa-openai-de_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/de/xmode-vqa-openai-de_evaluation.csv,0.4666666666666667
de,qa,openai,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/de/xmode-qa-openai-de.json,xmode-qa-openai-de,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/de/xmode-qa-openai-de_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/de/xmode-qa-openai-de_evaluation.csv,0.26666666666666666
de,vqa,m3ae,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/de/xmode-vqa-m3ae-star-de.json,xmode-vqa-m3ae-star-de,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/de/xmode-vqa-m3ae-star-de_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/de/xmode-vqa-m3ae-star-de_evaluation.csv,0.4
de,vqa,m3ae,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/de/xmode-vqa-m3ae-de.json,xmode-vqa-m3ae-de,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/de/xmode-vqa-m3ae-de_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/de/xmode-vqa-m3ae-de_evaluation.csv,0.3
en,vqa,openai,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/en/xmode-vqa-openai-english.json,xmode-vqa-openai-english,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/en/xmode-vqa-openai-english_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/en/xmode-vqa-openai-english_evaluation.csv,0.36666666666666664
en,vqa,m3ae,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/en/xmode-vqa-m3ae-english.json,xmode-vqa-m3ae-english,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/en/xmode-vqa-m3ae-english_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/en/xmode-vqa-m3ae-english_evaluation.csv,0.4
en,qa,openai,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/en/xmode-qa-openai-english.json,xmode-qa-openai-english,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/en/xmode-qa-openai-english_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/en/xmode-qa-openai-english_evaluation.csv,0.3
en,vqa,m3ae,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/en/xmode-vqa-m3ae-star-en.json,xmode-vqa-m3ae-star-en,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/en/xmode-vqa-m3ae-star-en_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/en/xmode-vqa-m3ae-star-en_evaluation.csv,0.3333333333333333
zh,qa,openai,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/zh/xmode-qa-openai-zh.json,xmode-qa-openai-zh,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/zh/xmode-qa-openai-zh_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/zh/xmode-qa-openai-zh_evaluation.csv,0.3
zh,vqa,openai,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/zh/xmode-vqa-openai-zh.json,xmode-vqa-openai-zh,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/zh/xmode-vqa-openai-zh_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/zh/xmode-vqa-openai-zh_evaluation.csv,0.36666666666666664
zh,vqa,m3ae,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/zh/xmode-vqa-m3ae-zh.json,xmode-vqa-m3ae-zh,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/zh/xmode-vqa-m3ae-zh_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/zh/xmode-vqa-m3ae-zh_evaluation.csv,0.4(not checked manually)
zh,vqa,m3ae,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/zh/xmode-vqa-m3ae-star-zh.json,xmode-vqa-m3ae-star-zh,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/output/20240729_131507/zh/xmode-vqa-m3ae-star-zh_output.csv,/home/ubuntu/workspace/XMODE-LLMCompiler/experiments/xmode/evaluation/20240729_131507/zh/xmode-vqa-m3ae-star-zh_evaluation.csv,0.3333333333333333
